text,label_name,label_match,Notes
ive made it through a week i just feel beaten down,sadness,yes,sadness and discouragement
i feel this strategy is worthwhile,joy,no,acceptance
i feel so worthless and weak what does he have to say that s what i want to find out,sadness,yes,
i feel clever nov,joy,yes,
im moved in ive been feeling kind of gloomy,sadness,yes,
i allowed myself to feel the really shitty feelings while i was running because a the endorphins were flowing so it hurt less and b so i could pretend i was running away from them,sadness,yes,
i feel confused too,fear,yes,
i feel like a crappy mummy if were stuck in but there are days where i really cant face much else then venturing out to the garden at pm,sadness,yes,
i feel like i liked my hair much better before i was using a sulfate free brand and i believe i am using a reputable brand,love,no,resentment
i feel the self pressured expectation to keep up to date with our family events so in order to assuage the guilt here we go,fear,yes,
i get it she feel betrayed and hurt,sadness,yes,
i cant shake off my feelings of being offended and hurt no matter how hard i try and the conversation keeps consuming my every thought,anger,yes,
i feel like i need a artistic community or a friend or a class,joy,no,needy
i feel so useless and stupid,sadness,yes,
i was happy with the progress but i was also beginning to feel a little hopeless,sadness,yes,
i feel overwhelmed and i want to forget it all,surprise,no,sadness and discouragement
i bet you are feeling really mad and hurt,anger,yes,
i feel lucky on my birthday,joy,yes,
i blinded feelings i meant liked stupid i,love,no,embarassment
i am feeling so stunned and sad about the earthquake in christchurch new zealand yesterday,surprise,no,shocked
